Date,Open,High,Low,Volume,Close
9/19/2023,$438 ,$440 ,$430 ,"$37,306,420 ",$435 
9/18/2023,$427 ,$442 ,$420 ,"$50,027,080 ",$440 
9/15/2023,$453 ,$456 ,$438 ,"$50,683,050 ",$439 
9/14/2023,$460 ,$460 ,$451 ,"$37,009,720 ",$456 
9/13/2023,$446 ,$459 ,$445 ,"$39,835,540 ",$455 
9/12/2023,$447 ,$457 ,$445 ,"$34,925,630 ",$449 
9/11/2023,$461 ,$462 ,$443 ,"$47,396,560 ",$452 
9/8/2023,$459 ,$466 ,$453 ,"$47,389,990 ",$456 
9/7/2023,$455 ,$463 ,$452 ,"$43,332,990 ",$462 
9/6/2023,$484 ,$485 ,$466 ,"$46,866,960 ",$471 
9/5/2023,$482 ,$489 ,$479 ,"$38,265,260 ",$485 
9/1/2023,$498 ,$498 ,$481 ,"$46,383,030 ",$485 
8/31/2023,$494 ,$497 ,$490 ,"$52,856,980 ",$494 
8/30/2023,$490 ,$499 ,$484 ,"$73,520,600 ",$493 
8/29/2023,$467 ,$491 ,$464 ,"$70,139,700 ",$488 
8/28/2023,$465 ,$470 ,$449 ,"$68,519,220 ",$468 
8/25/2023,$470 ,$478 ,$450 ,"$92,534,050 ",$460 
8/24/2023,$502 ,$503 ,$472 ,"$115,604,400 ",$472 
8/23/2023,$459 ,$472 ,$452 ,"$77,904,610 ",$471 
8/22/2023,$481 ,$482 ,$453 ,"$75,720,690 ",$457 
8/21/2023,$445 ,$471 ,$442 ,"$69,257,340 ",$470 
8/18/2023,$426 ,$436 ,$417 ,"$58,376,790 ",$433 
8/17/2023,$440 ,$441 ,$430 ,"$45,239,480 ",$433 
8/16/2023,$445 ,$447 ,$434 ,"$52,745,070 ",$435 
8/15/2023,$446 ,$453 ,$437 ,"$67,651,150 ",$439 
8/14/2023,$405 ,$438 ,$403 ,"$69,028,580 ",$438 
8/11/2023,$418 ,$420 ,$406 ,"$53,308,530 ",$409 
