Date,Open,High,Low,Volume,Close
9/7/2023, 455 , 463 , 452 ,43332990, 462 
9/6/2023, 484 , 485 , 466 ,46866960, 471 
9/5/2023, 482 , 489 , 479 ,38265260, 485 
9/1/2023, 498 , 498 , 481 ,46383030, 485 
8/31/2023, 494 , 497 , 490 ,52856980, 494 
8/30/2023, 490 , 499 , 484 ,73520600, 493 
8/29/2023, 467 , 491 , 464 ,70139700, 488 
8/28/2023, 465 , 470 , 449 ,68519220, 468 
8/25/2023, 470 , 478 , 450 ,92534050, 460 
8/24/2023, 502 , 503 , 472 ,115604400, 472 
8/23/2023, 459 , 472 , 452 ,77904610, 471 
8/22/2023, 481 , 482 , 453 ,75720690, 457 
8/21/2023, 445 , 471 , 442 ,69257340, 470 
8/18/2023, 426 , 436 , 417 ,58376790, 433 
8/17/2023, 440 , 441 , 430 ,45239480, 433 
8/16/2023, 445 , 447 , 434 ,52745070, 435 
8/15/2023, 446 , 453 , 437 ,67651150, 439 
8/14/2023, 405 , 438 , 403 ,69028580, 438 
8/11/2023, 418 , 420 , 406 ,53308530, 409 
8/10/2023, 422 , 436 , 418 ,49270530, 424 
8/9/2023, 443 , 443 , 421 ,58644910, 426 
8/8/2023, 449 , 452 , 441 ,35384340, 447 
8/7/2023, 451 , 455 , 446 ,32215350, 454 
8/4/2023, 450 , 456 , 444 ,36266620, 447 
8/3/2023, 438 , 451 , 438 ,32507660, 445 
8/2/2023, 458 , 458 , 434 ,53014160, 443 
8/1/2023, 465 , 469 , 460 ,23927600, 465 
7/31/2023, 468 , 471 , 465 ,25105530, 467 
7/28/2023, 467 , 470 , 464 ,33119420, 468 
7/27/2023, 465 , 474 , 458 ,45597550, 459 
7/26/2023, 460 , 461 , 446 ,36423730, 455 
7/25/2023, 449 , 462 , 449 ,34808090, 457 
7/24/2023, 447 , 451 , 440 ,38309970, 446 
7/21/2023, 458 , 459 , 441 ,96376860, 443 
7/20/2023, 465 , 471 , 451 ,53786450, 455 
7/19/2023, 475 , 478 , 467 ,42750180, 471 
7/18/2023, 467 , 479 , 457 ,57019040, 475 
7/17/2023, 463 , 465 , 453 ,51048820, 465 
7/14/2023, 466 , 481 , 451 ,77207530, 455 
7/13/2023, 445 , 462 , 445 ,47820370, 460 
7/12/2023, 430 , 439 , 428 ,48127700, 439 
7/11/2023, 425 , 428 , 421 ,29824410, 424 
